dataset,method,k,k_frac,beta,gamma,runs,max_steps,mean_final_recovered,mean_peak_infected
Celegans,CRimp,3,0.010101010101010102,0.03,0.1,200,200,0.8735353535353535,0.39905723905723905
Celegans,CycleRatioBase,3,0.010101010101010102,0.03,0.1,200,200,0.8735353535353535,0.39905723905723905
Celegans,Degree,3,0.010101010101010102,0.03,0.1,200,200,0.8735353535353535,0.39905723905723905
Celegans,Betweenness,3,0.010101010101010102,0.03,0.1,200,200,0.8735353535353535,0.39905723905723905
Celegans,PageRank,3,0.010101010101010102,0.03,0.1,200,200,0.8735353535353535,0.39905723905723905
Celegans,CRimp,9,0.030303030303030304,0.03,0.1,200,200,0.8775420875420875,0.40994949494949495
Celegans,Betweenness,9,0.030303030303030304,0.03,0.1,200,200,0.874006734006734,0.4060774410774411
Celegans,PageRank,9,0.030303030303030304,0.03,0.1,200,200,0.8727946127946129,0.40831649831649824
Celegans,Degree,9,0.030303030303030304,0.03,0.1,200,200,0.8725925925925925,0.4073063973063974
Celegans,CycleRatioBase,9,0.030303030303030304,0.03,0.1,200,200,0.8681144781144781,0.40232323232323225
Celegans,CycleRatioBase,15,0.050505050505050504,0.03,0.1,200,200,0.8745454545454545,0.4086026936026936
Celegans,Degree,15,0.050505050505050504,0.03,0.1,200,200,0.8745454545454545,0.4086026936026936
Celegans,Betweenness,15,0.050505050505050504,0.03,0.1,200,200,0.8737542087542087,0.4166329966329967
Celegans,PageRank,15,0.050505050505050504,0.03,0.1,200,200,0.8718013468013467,0.40813131313131307
Celegans,CRimp,15,0.050505050505050504,0.03,0.1,200,200,0.8700505050505051,0.41515151515151516
Email,CycleRatioBase,12,0.01059135039717564,0.03,0.1,200,200,0.6859135039717563,0.2608384819064431
Email,PageRank,12,0.01059135039717564,0.03,0.1,200,200,0.6844439541041483,0.25945278022947926
Email,Degree,12,0.01059135039717564,0.03,0.1,200,200,0.6842939099735216,0.2583009708737864
Email,Betweenness,12,0.01059135039717564,0.03,0.1,200,200,0.6842762577228598,0.26097528684907323
Email,CRimp,12,0.01059135039717564,0.03,0.1,200,200,0.6830052956751986,0.2612488967343336
Email,CRimp,34,0.03000882612533098,0.03,0.1,200,200,0.6866548984995587,0.2718137687555163
Email,Degree,34,0.03000882612533098,0.03,0.1,200,200,0.6866284201235657,0.26754633715798765
Email,PageRank,34,0.03000882612533098,0.03,0.1,200,200,0.6858605472197706,0.2708914386584289
Email,CycleRatioBase,34,0.03000882612533098,0.03,0.1,200,200,0.6841747572815534,0.2699029126213592
Email,Betweenness,34,0.03000882612533098,0.03,0.1,200,200,0.6840467784642541,0.27190644307149164
Email,CRimp,57,0.05030891438658429,0.03,0.1,200,200,0.6875463371579876,0.283053839364519
Email,Betweenness,57,0.05030891438658429,0.03,0.1,200,200,0.6874536628420123,0.2782744924977935
Email,Degree,57,0.05030891438658429,0.03,0.1,200,200,0.6857458075904678,0.2756884377758164
Email,PageRank,57,0.05030891438658429,0.03,0.1,200,200,0.6836142983230361,0.2779170344218888
Email,CycleRatioBase,57,0.05030891438658429,0.03,0.1,200,200,0.6830582524271844,0.2752206531332745
Jazz,CRimp,2,0.010101010101010102,0.03,0.1,200,200,0.927651515151515,0.5462121212121211
Jazz,CycleRatioBase,2,0.010101010101010102,0.03,0.1,200,200,0.927651515151515,0.5462121212121211
Jazz,Degree,2,0.010101010101010102,0.03,0.1,200,200,0.927651515151515,0.5462121212121211
Jazz,PageRank,2,0.010101010101010102,0.03,0.1,200,200,0.927651515151515,0.5462121212121211
Jazz,Betweenness,2,0.010101010101010102,0.03,0.1,200,200,0.9270202020202021,0.5600252525252526
Jazz,PageRank,6,0.030303030303030304,0.03,0.1,200,200,0.9276767676767677,0.5609343434343435
Jazz,CRimp,6,0.030303030303030304,0.03,0.1,200,200,0.9273737373737373,0.5648989898989899
Jazz,CycleRatioBase,6,0.030303030303030304,0.03,0.1,200,200,0.927121212121212,0.5661868686868686
Jazz,Betweenness,6,0.030303030303030304,0.03,0.1,200,200,0.927121212121212,0.5661868686868686
Jazz,Degree,6,0.030303030303030304,0.03,0.1,200,200,0.926969696969697,0.5447222222222223
Jazz,Betweenness,10,0.050505050505050504,0.03,0.1,200,200,0.9330050505050506,0.5757828282828283
Jazz,PageRank,10,0.050505050505050504,0.03,0.1,200,200,0.9279797979797979,0.5698989898989899
Jazz,CRimp,10,0.050505050505050504,0.03,0.1,200,200,0.9276515151515151,0.5727020202020202
Jazz,CycleRatioBase,10,0.050505050505050504,0.03,0.1,200,200,0.9272979797979798,0.5775757575757576
Jazz,Degree,10,0.050505050505050504,0.03,0.1,200,200,0.9260858585858586,0.5415151515151515
NS_GC,CRimp,4,0.010554089709762533,0.03,0.1,200,200,0.1623746701846966,0.05724274406332453
NS_GC,PageRank,4,0.010554089709762533,0.03,0.1,200,200,0.1623746701846966,0.05724274406332453
NS_GC,CycleRatioBase,4,0.010554089709762533,0.03,0.1,200,200,0.14765171503957783,0.05188654353562005
NS_GC,Degree,4,0.010554089709762533,0.03,0.1,200,200,0.1445778364116095,0.05348284960422163
NS_GC,Betweenness,4,0.010554089709762533,0.03,0.1,200,200,0.13319261213720318,0.045
NS_GC,CRimp,12,0.0316622691292876,0.03,0.1,200,200,0.29142480211081795,0.10670184696569923
NS_GC,PageRank,12,0.0316622691292876,0.03,0.1,200,200,0.28390501319261213,0.10366754617414248
NS_GC,Degree,12,0.0316622691292876,0.03,0.1,200,200,0.2809498680738786,0.10387862796833773
NS_GC,Betweenness,12,0.0316622691292876,0.03,0.1,200,200,0.25804749340369393,0.0937071240105541
NS_GC,CycleRatioBase,12,0.0316622691292876,0.03,0.1,200,200,0.2436411609498681,0.09081794195250659
NS_GC,PageRank,19,0.05013192612137203,0.03,0.1,200,200,0.34319261213720315,0.1323878627968338
NS_GC,CRimp,19,0.05013192612137203,0.03,0.1,200,200,0.33766490765171503,0.13121372031662268
NS_GC,Degree,19,0.05013192612137203,0.03,0.1,200,200,0.3364907651715039,0.13105540897097626
NS_GC,Betweenness,19,0.05013192612137203,0.03,0.1,200,200,0.33559366754617415,0.125
NS_GC,CycleRatioBase,19,0.05013192612137203,0.03,0.1,200,200,0.3270712401055409,0.1237730870712401
USAir,Betweenness,4,0.012048192771084338,0.03,0.1,200,200,0.6178765060240964,0.30375
USAir,CycleRatioBase,4,0.012048192771084338,0.03,0.1,200,200,0.6164006024096387,0.29781626506024095
USAir,CRimp,4,0.012048192771084338,0.03,0.1,200,200,0.6164006024096386,0.29733433734939757
